prompt_length,mean_ttft,p95_ttft,throughput
16,36.704954669150936,107.59791578752917,1.0075
32,41.41828852844931,114.48016145369036,0.9965
48,45.83534417893714,118.92279924489563,0.9909
64,50.358391174586636,125.9828175247647,0.9989
