output_budget,mean_tbt,p95_tbt,mean_ttft,throughput
4,30.004757216029887,89.28418885869905,38.62890148058654,1.0054
8,30.346073462684114,90.59381759352982,41.41828852844931,0.9965
16,30.1857533513428,90.16969764546957,46.71199585397685,0.9946
32,30.179823492488357,90.17603767218543,53.106460417059324,0.9891
