arrival_rate,mean_ttft,p95_ttft,throughput
0.5,38.05039694214512,103.25345240929165,0.508
0.8,40.489027411827514,112.51021172855978,0.8007
1.0,41.41828852844931,114.48016145369036,0.9965
1.2,42.29947076633456,117.90374665055424,1.1806
1.5,44.728838465300974,119.92871699435636,1.5171
