scheduler,queries_completed,mean_ttft,p95_ttft,mean_tbt,p95_tbt,throughput
Decode-First,43,74.83920668938273,286.13313623157666,28.842245913121285,86.3983685683939,0.86
Prefill-First,54,48.94057001293031,113.6506397940967,31.647506885718276,87.80787393704993,1.08
